"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance"
328.13962358599,65215.2685698251,4.25918333333333,"C15H21NO7","NO7","CHNO",15,21,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.13234713383,328.13907848556,1.66629938898058,1.67,328,327.773219950831,0.226780049169179,6,0.466666666666667,1.4,-1,25.1639847718,23,0.9,32,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",86.4875850779926,0.00607318826827847
328.140007075516,41531.8924009096,3.64818333333333,"C16H17N5O3","N5O3","CHNO",16,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.132730623356,328.14041589836,-1.24971550084098,1.25,328,327.773603012148,0.226396987851501,11,0.1875,1.0625,8,25.1640876497077,24,1,34,0.5,0,0,0,0,0,0,0,0,0,"Ambiguous",55.0790199326988,0.00386766791305241
328.140007075516,41531.8924009096,3.64818333333333,"C15H21NO7","NO7","CHNO",15,21,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327.132730623356,328.13907848556,2.8385724470113,2.84,328,327.773603012148,0.226396987851501,6,0.466666666666667,1.4,-1,25.1639847718,23,0.9,32,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",55.0790199326988,0.00386766791305241
337.106149667633,293095.567504954,7.93663333333333,"C20H16O5","O5","CHO",20,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.098873215473,337.10705007406,-2.67899269799736,2.68,337,336.729733929348,0.270266070652497,13,0.25,0.8,8,25.8538287401462,25,1,42,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",388.699278351147,0.0272945983523729
337.106149667633,293095.567504954,7.93663333333333,"C14H17N4O4P","N4O4P","CHNOP",14,17,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.098873215473,337.10601800326,0.39174297597709,0.39,337,336.729733929348,0.270266070652497,9,0.285714285714286,1.21428571428571,5,25.8537493500846,23,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",388.699278351147,0.0272945983523729
337.106574942973,246413.512052395,7.49315,"C20H16O5","O5","CHO",20,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.099298490813,337.10705007406,-1.41366283321424,1.41,337,336.730158729822,0.269841270178119,13,0.25,0.8,8,25.8538287401462,25,1,42,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",326.790183577644,0.0229473202113643
337.106574942973,246413.512052395,7.49315,"C14H17N4O4P","N4O4P","CHNOP",14,17,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.099298490813,337.10601800326,1.65706895527706,1.66,337,336.730158729822,0.269841270178119,9,0.285714285714286,1.21428571428571,5,25.8537493500846,23,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",326.790183577644,0.0229473202113643
337.106648941982,242007.525977319,7.70738333333333,"C20H16O5","O5","CHO",20,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.099372489822,337.10705007406,-1.1934924941827,1.19,337,336.730232646202,0.269767353797874,13,0.25,0.8,8,25.8538287401462,25,1,42,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",320.947025926417,0.0225370116512961
337.106648941982,242007.525977319,7.70738333333333,"C14H17N4O4P","N4O4P","CHNOP",14,17,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336.099372489822,337.10601800326,1.8772386182255,1.88,337,336.730232646202,0.269767353797874,9,0.285714285714286,1.21428571428571,5,25.8537493500846,23,0.9,30,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",320.947025926417,0.0225370116512961
347.076566101288,1758461.88889132,5.40183333333333,"C17H14O8","O8","CHO",17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,346.069289649128,347.07614387716,1.22005661984153,1.22,347,346.689017306941,0.310982693058918,11,0.470588235294118,0.823529411764706,3,26.6206821096154,25,0.9,36,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",2332.04777895011,0.163757205145835
