"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance","charge"
576.385661398869,179290.551928139,5.68661666666667,"C28H53N3O9","N3O9","CHNO",28,53,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,575.378384946709,576.38545676576,0.355649628322844,0.36,576,575.74206402016,0.257935979839544,4,0.321428571428571,1.89285714285714,-5,44.2598600241231,40,0.9,58,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",237.772644407079,0.0166964776878487,1
799.679103929087,178862.56017346,12.1571,"C45H91N4O5P","N4O5P","CHNOP",45,91,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,798.671827476927,799.67998498616,-1.10315281324797,1.1,799,798.786175097638,0.213824902361807,3,0.111111111111111,2.02222222222222,-2,61.4363621949231,55,0.9,92,1,0,0,0,0,0,0,0,0,0,"Unambiguous",237.205047675405,0.0166566208481785,1
532.437138867547,177461.151265816,12.9091166666667,"C34H53N5","N5","CHN",34,53,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,531.429862415387,532.43737317986,-0.440909195650591,0.44,532,531.842614801715,0.157385198285169,11,0,1.55882352941176,11,40.8792382098231,39,1,70,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",235.34651861025,0.0165261142916065,1
593.199547673493,176504.104401717,4.60568333333333,"C25H37O14P","O14P","CHOP",25,37,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,592.192271221333,593.19936883466,0.301994540576603,0.3,593,592.537175759162,0.462824240837904,8,0.56,1.48,-6,45.5532378755769,40,0.9,52,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",234.077296326917,0.0164369890619678,1
387.109360342189,175385.416785681,5.19905,"C21H14N4O4","N4O4","CHNO",21,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,386.102083890029,387.10878141756,1.49940819637925,1.5,387,386.677110572157,0.322889427843222,17,0.19047619047619,0.666666666666667,13,29.7001157665692,29,1,44,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous",232.59370831924,0.0163328109966991,1
663.207322435957,175105.489044919,7.72501666666667,"C35H34O13","O13","CHO",35,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662.200045983797,663.20721762666,0.158274373395535,0.16,663,662.466779214906,0.53322078509359,19,0.371428571428571,0.971428571428571,6,50.9384570134231,48,0.9,72,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",232.222472030166,0.0163067426555201,1
432.273509602968,175060.797466788,8.30956666666667,"C25H37NO5","NO5","CHNO",25,37,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431.266233150808,432.27444975136,-2.17997218395198,2.18,432,431.790829140393,0.209170859606957,8,0.2,1.48,3,33.1743979460923,31,0.9,52,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",232.163202678821,0.0163025807410797,1
201.164151895919,174878.986416662,6.93506666666667,"C15H20","","CH",15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.156875443759,201.16377709016,1.87256000291547,1.87,201,200.939530206795,0.06046979320476,6,0,1.33333333333333,6,15.3966538952308,15,1,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",231.922087384647,0.016285649541364,1
359.111314168736,174777.78270997,4.71148333333333,"C13H19N4O6P","N4O6P","CHNOP",13,19,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,358.104037716576,359.11149731166,-0.511423789531537,0.51,359,358.710327267184,0.289672732816257,7,0.461538461538462,1.46153846153846,1,27.5464785276538,24,0.9,28,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",231.78787243185,0.0162762249207549,1
271.060714385475,174263.060037503,5.52528333333333,"C15H10O5","O5","CHO",15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,270.053437933315,271.06009988266,2.27548599048245,2.28,271,270.758045570248,0.24195442975207,11,0.333333333333333,0.666666666666667,6,20.7732941100385,20,1,32,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous",231.105254359383,0.0162282912425781,1
309.14863441785,173301.860534136,7.45788333333333,"C20H20O3","O3","CHO",20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308.14135796569,309.14852095706,0.368210198190874,0.37,309,308.803436290854,0.196563709146119,11,0.15,1,8,23.7031726542231,23,1,42,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",229.830524903421,0.0161387792973643,1
325.093192562937,173280.959352988,1.49266666666667,"C16H12N4O4","N4O4","CHNO",16,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324.085916110777,325.09313135376,0.188867129691689,0.19,325,324.730190599873,0.26980940012669,13,0.25,0.75,9,24.9296811462769,24,1,34,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous",229.802806046742,0.0161368328696193,1
610.184031737641,173073.34588968,12.92675,"C21H31N5O16","N5O16","CHNO",21,31,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,609.176755285481,610.18385643486,0.287769978031327,0.29,610,609.502694796672,0.497305203327642,9,0.761904761904762,1.47619047619048,-7,46.8597369217462,42,0.9,44,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous",229.527471949913,0.0161174988136942,1
