"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
398043.397565158,165.055650547706,4.36498333333333,"C9H10O3","O3","CHO",9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166.062926999866,165.05571773374,-0.40458177649901,0.4,165,164.871347933766,0.128652066234253,5,0.333333333333333,1.11111111111111,2,12.7740764758385,12,0.9,20,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
20030.0308058767,167.071012306843,3.5133,"C9H12O3","O3","CHO",9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.078288759003,167.07136779754,-2.11503043993819,2.12,167,166.884459321958,0.115540678041924,4,0.333333333333333,1.33333333333333,1,12.9291264807462,12,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
116849.477247093,167.071154312904,1.74215,"C9H12O3","O3","CHO",9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.078430765064,167.07136779754,-1.27014891215071,1.27,167,166.884601169454,0.115398830546127,4,0.333333333333333,1.33333333333333,1,12.9291264807462,12,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
42684.2510000385,167.071390611845,4.13575,"C9H12O3","O3","CHO",9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.078667064005,167.07136779754,0.135735875329001,0.14,167,166.884837204541,0.115162795458644,4,0.333333333333333,1.33333333333333,1,12.9291264807462,12,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
11528.3208220073,167.071681714757,3.81571666666667,"C9H12O3","O3","CHO",9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.078958166917,167.07136779754,1.86767707524534,1.87,167,166.885127982405,0.114872017594763,4,0.333333333333333,1.33333333333333,1,12.9291264807462,12,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
19317.9147528274,167.086244326589,7.93663333333333,"C13H12","","CH",13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.093520778749,167.08662393064,-2.25829079697244,2.26,167,166.899674333495,0.100325666505228,8,0,0.923076923076923,8,12.9303000294462,13,1,28,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
6251.48994863184,167.107248120103,3.72753333333333,"C10H16O2","O2","CHO",10,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.114524572263,167.10775330284,-3.00499161671009,3,167,166.920654673985,0.0793453260147032,3,0.2,1.6,1,12.9319253657692,12,0.9,22,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
10839.4832095912,167.107281376377,9.53155,"C10H16O2","O2","CHO",10,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.114557828537,167.10775330284,-2.80717190172307,2.81,167,166.920687893125,0.0793121068749656,3,0.2,1.6,1,12.9319253657692,12,0.9,22,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
5001.17572418216,167.107601288609,3.33696666666667,"C10H16O2","O2","CHO",10,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.114877740769,167.10775330284,-0.904228305277242,0.9,167,166.92100744814,0.0789925518598125,3,0.2,1.6,1,12.9319253657692,12,0.9,22,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
12483.4529614694,167.143956901645,6.57093333333333,"C11H20O","O","CHO",11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168.151233353805,167.14413880814,-1.0818029186425,1.08,167,166.957322466174,0.0426775338261223,2,0.0909090909090909,1.81818181818182,1,12.9347242507923,12,0.9,24,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous"
